Nuclide,Model,GENII,EPA,DOE,GENII/EPA,DOE/EPA
H-3,H2O,0.0000000902,0.0000000960,0.0000000945,0.94,
Be-10,Y,0.0003540000,0.0003540000,0.0003500000,,
C-14,Organic,0.0000020600,0.0000020900,0.0000021000,,
Na-22,D,0.0000071100,0.0000076600,0.0000080000,0.93,
Si-32+D,Y,0.0010200000,0.0010300000,0.0010100000,,
Cl-36,W,0.0000221000,0.0000219000,0.0000200000,0.91,
K-40,D,0.0000119000,0.0000124000,0.0000120000,,
Ti-44+D,D,0.0004180000,0.0004520000,0.0004500000,0.92,
V-49,W,0.0000003460,0.0000003450,0.0000002800,0.81,
Mn-54,W,0.0000063600,0.0000067000,0.0000064000,0.95,
Fe-55,D,0.0000027400,0.0000026900,0.0000026000,,
Co-60,Y,0.0002000000,0.0002190000,0.0001500000,0.91,0.68
Ni-59,D,0.0000012800,0.0000013200,0.0000013000,,
Ni-63,D,0.0000030600,0.0000031000,0.0000030000,,
Se-79,W,0.0000094900,0.0000098400,0.0000089000,0.9,
Rb-87,D,0.0000031800,0.0000032300,0.0000033000,,
Sr-90+D,D,0.0002100000,0.0002480000,0.0002370000,0.85,
Zr-93,D,0.0003160000,0.0003210000,0.0003200000,,
Nb-91,Y,0.0000294000,0.0000292000,0.0000280000,,
Nb-93m,Y,0.0000294000,0.0000292000,0.0000280000,,
Nb-94,Y,0.0003910000,0.0004140000,0.0003300000,0.94,0.8
Mo-93,Y,0.0000280000,0.0000284000,0.0000280000,,
Tc-99,W,0.0000090000,0.0000083300,0.0000075000,1.08,0.9
Ru-106+D,Y,0.0004750000,0.0004770000,0.0004400000,0.92,
Pd-107,Y,0.0000129000,0.0000128000,0.0000130000,,
Ag-108m+D,Y,0.0002580000,0.0002830000,0.0002000000,0.91,0.71
Cd-109,D,0.0001150000,0.0001140000,0.0001000000,0.88,
Cd-113m,D,0.0015400000,0.0015300000,0.0014000000,0.92,
In-115,D,0.0020200000,0.0037400000,0.0034000000,0.54,0.91
Sn-121m+D,W,0.0000118000,0.0000119000,0.0000092600,0.78,
Sn-126+D,W,0.0001000000,0.0001010000,0.0000754000,0.75,
Sb-125+D,W,0.0000123000,0.0000122000,0.0000098000,0.8,
Te-125m,W,0.0000071800,0.0000072900,0.0000067000,0.92,
I-129,D,0.0001510000,0.0001740000,0.0001800000,0.87,
Cs-134,D,0.0000428000,0.0000463000,0.0000470000,0.92,
Cs-135,D,0.0000044900,0.0000045500,0.0000045000,,
Cs-137+D,D,0.0000298000,0.0000319000,0.0000320000,0.93,
Ba-133,D,0.0000060000,0.0000078100,0.0000069000,0.77,0.88
Pm-147,Y,0.0000392000,0.0000392000,0.0000340000,0.87,
Sm-147,W,0.0748000000,0.0747000000,0.0710000000,,
Sm-151,W,0.0000301000,0.0000300000,0.0000290000,,
Eu-150,W,0.0002500000,0.0002680000,0.0002700000,0.93,
Eu-152,W,0.0002110000,0.0002210000,0.0002200000,,
Eu-154,W,0.0002780000,0.0002860000,0.0002600000,0.91,
Eu-155,W,0.0000412000,0.0000414000,0.0000390000,0.94,
Gd-152,D,0.2440000000,0.2430000000,0.2400000000,,
Ho-166m,W,0.0007460000,0.0007730000,0.0007200000,0.93,
Re-187,W,0.0000000586,0.0000000544,0.0000000490,1.08,0.9
Tl-204,D,0.0000024600,0.0000024100,0.0000023000,,
Pb-205,D,0.0000039700,0.0000039200,0.0000037000,0.94,
Pb-210+D,D,0.0139000000,0.0138000000,0.0132000000,,
Bi-207,W,0.0000196000,0.0000200000,0.0000140000,0.7,
Po-209,D,0.0119000000,0.0118000000,0.0101000000,0.86,
Po-210,D,0.0096500000,0.0094000000,0.0081000000,0.86,
Ra-226+D,W,0.0082200000,0.0086000000,0.0079100000,0.92,
Ra-228+D,W,0.0044000000,0.0050800000,0.0044900000,0.87,0.88
Ac-227+D,D,6.7100000000,6.7200000000,6.7200000000,,
Th-228+D,W,0.3470000000,0.3450000000,0.3130000000,0.91,
Th-229+D,W,2.1600000000,2.1600000000,2.0200000000,0.94,
Th-230,W,0.3270000000,0.3260000000,0.3200000000,,
Th-232,W,1.6400000000,1.6400000000,1.6000000000,,
Pa-231,W,1.2900000000,1.2800000000,1.3000000000,,
U-232,Y,0.6560000000,0.6590000000,0.6700000000,,
U-233,Y,0.1350000000,0.1350000000,0.1300000000,,
U-234,Y,0.1320000000,0.1320000000,0.1300000000,,
U-235+D,Y,0.1240000000,0.1230000000,0.1200000000,,
U-236,Y,0.1260000000,0.1250000000,0.1200000000,,
U-238+D,Y,0.1180000000,0.1180000000,0.1200000000,,
Np-237+D,W,0.6320000000,0.5400000000,0.4900000000,1.17,0.91
Pu-236,W,0.1450000000,0.1450000000,0.1600000000,1.1,
Pu-238,W,0.3900000000,0.3920000000,0.4600000000,1.17,
Pu-239,W,0.4300000000,0.4290000000,0.5100000000,1.19,
Pu-240,W,0.4300000000,0.4290000000,0.5100000000,1.19,
Pu-241+D,W,0.0081700000,0.0082500000,0.0100000000,1.21,
Pu-242,W,0.4080000000,0.4110000000,0.4800000000,1.17,
Pu-244+D,W,0.4030000000,0.4030000000,0.4800000000,1.19,
Am-241,W,0.4410000000,0.4440000000,0.5200000000,1.17,
Am-242m+D,W,0.4240000000,0.4260000000,0.5100000000,1.2,
Am-243+D,W,0.4410000000,0.4400000000,0.5200000000,1.18,
Cm-242,W,0.0175000000,0.0173000000,0.0001700000,,
Cm-243,W,0.3070000000,0.3070000000,0.3500000000,1.14,
Cm-244,W,0.2480000000,0.2480000000,0.2700000000,1.09,
Cm-245,W,0.4550000000,0.4550000000,0.5400000000,1.19,
Cm-246,W,0.4510000000,0.4510000000,0.5400000000,1.2,
Cm-247+D,W,0.4150000000,0.4140000000,0.4900000000,1.18,
Cm-248,W,1.6500000000,1.6500000000,1.9000000000,1.15,
Cm-250+D,W,9.4300000000,9.4000000000,9.4000000000,,
Bk-247,W,0.4650000000,0.5740000000,0.5500000000,0.81,
Cf-248,Y,0.0511000000,0.0507000000,0.0430000000,0.85,
Cf-249,W,0.5770000000,0.5770000000,0.5500000000,,
Cf-250,W,0.2630000000,0.2620000000,0.2200000000,0.84,
Cf-251,W,0.5870000000,0.5880000000,0.5600000000,,
Cf-252,Y,0.1550000000,0.1570000000,0.1300000000,0.83,
